414/89,020 TIM m,Text,414/89,11/10/1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
4482,647,Text,4482,15 januari 2009,,,600-699,,Available,,,,,IDR,,,,Rahasia Sukses Bisnis Etnis Tinghoa Di Indonesia
4336,612.6,Text,4336,2 Januari 2007,,,600-699,,Available,,,,,IDR,,,,Rekayasa Genetika
4659,615.6,Text,4659,10 Mei 2009,,,600-699,,Available,,,,,IDR,,,,Rematik & Asam Urat
4724,612.6,Text,4724,24 Juni 2009,,,600-699,,Available,,,,,IDR,,,,"Reproduksi Pernapasan, Dan Kesehatan"
5103,613.2,Text,5103,15-Apr-10,,,600-699,,Available,,,,,IDR,,,,Resep Sedap Foodcombining
5104,613.2,Text,5104,15-Apr-10,,,600-699,,Available,,,,,IDR,,,,Resep Sedap Foodcombining Hidangan Sayuran
4688,615.3,Text,4688,2 Juli 2008,,,600-699,,Available,,,,,IDR,,,,Resep Tumbuhan Obat Untuk Asam Urat
,,Text,,23 Januari 1987,,,600-699,,Available,,,,,IDR,,,,Resep-Resep masakan Sederhana
5438,613.2,Text,5438,28 Oktober 2010,,,600-699,,Available,,,,,IDR,,,,Riset Menakjubkan!
0137,629.1,Text,0137,6 Agustus 1984,,,600-699,,Available,,,,,IDR,,,,Roket Dan Perjalanan Antariksa
,,Text,,,,,600-699,,Available,,,,,IDR,,,,Rumah Henry = Dinosaurus pindah ke kode 500
4316,690,Text,4316,8 Oktober 2007,,,600-699,,Available,,,,,IDR,,,,Rumah Nyaman Dan Sehat Bukan Mimpi
3684,669.3,Text,3684,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Saos Pepaya
3911,641.2,Text,3911,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Sari Buah Nanas
3972,664,Text,3972,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Saus Pisang 
-,635,Text,-,-,,,600-699,,Available,,,,,IDR,,,,Sayuran Dokter Dalam  Tubuhmu
0520,635,Text,0520,23 Januari 1987,,,600-699,,Available,,,,,IDR,,,,Sayur-Mayur Untuk Karang Gizi
6704,615,Text,6704,23 Mei 2017,,,600-699,,Available,,,,,IDR,,,,Sehat & Cantik Natural
0469,613,Text,0469,21 Desember 1986,,,600-699,,Available,,,,,IDR,,,,SEHAT : Jiwa Raga Dan Lingkungan
5787,613,Text,5787,11-Apr-12,,,600-699,,Available,,,,,IDR,,,,Sehat Dan Kuat
5135,641.7,Text,5135,3 maret 2011,,,600-699,,Available,,,,,IDR,,,,Sehat Dengan Buah
5137,613.2,Text,5137,3 Mei 2012,,,600-699,,Available,,,,,IDR,,,,Sehat Dengan sayur
4929,613,Text,4929,6-Sep-08,,,600-699,,Available,,,,,IDR,,,,Sehat Prima Di Abad Keduapuluh Satu
6319,613.2,Text,6319,4-Sep-14,,,600-699,,Available,,,,,IDR,,,,Sehat Tanpa Daging Dengan Vegetaris
6690,615,Text,6690,23 Mei 2016,,,600-699,,Available,,,,,IDR,,,,"Sehat, Cantik, Bugar Dengan Herbal Dan Obat Tradisional"
4947,615,Text,4947,3 Januari 2010,,,600-699,,Available,,,,,IDR,,,,"Sehat, cantik, Dan Penuh Vitalitas Berkat Lidah Buaya"
4475,629.2,Text,4475,15 januari 2009,,,600-699,,Available,,,,,IDR,,,,Sejarah Mobil
3965,634.4,Text,3965,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Selai & Jam Jambu Mete
6961,616.025,Text,6961,25-Sep-18,,,600-699,,Available,,,,,IDR,,,,Self Help Emergency
4541,615.3,Text,4541,2 Maret 2009,,,600-699,,Available,,,,,IDR,,,,Seluk Beluk Food Supplement
6519,610,Text,6519,5 Juni 2016,,,600-699,,Available,,,,,IDR,,,,Seni Hidup Sehat Tanpa Dokter
4115,641.1,Text,4115,6 maret 2007,,,600-699,,Available,,,,,IDR,,,,Siapa Bilang Cokelat Bikin Gemuk?
3953,664.09,Text,3953,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Sirup Asam
3978,641.2,Text,3978,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Sirup Jambu Biji
-,616.8,Text,-,-,,,600-699,,Available,,,,,IDR,,,,STROKE
,616.1,Text,,,,,600-699,,Available,,,,,IDR,,,,Stroke A-Z
6692,634.75,Text,6692,23 Mei 2017,,,600-699,,Available,,,,,IDR,,,,Sukses Budi Daya Stroberi di Pot & Perkebunan
4182,631.8,Text,4182,21 Juni 2006,,,600-699,,Available,,,,,IDR,,,,Sukses Membuat Kompos Dari Sampah
4430,629.22,Text,4430,5 Januari 2009,,,600-699,,Available,,,,,IDR,,,,Superbike
3955,637.1,Text,3955,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Susu & Yoghurt Kedelai
5329,633.6,Text,5329,27-Sep-10,,,600-699,,Available,,,,,IDR,,,,Tahasia Tebu
6328,680.2,Text,6328,8-Sep-14,,,600-699,,Available,,,,,IDR,,,,Tahukan Anda? Fakta Buah & Sayur Yang Berbahaya
4679,615.3,Text,4679,2 Juli 2008,,,600-699,,Available,,,,,IDR,,,,Taman Obat Keluarga 200 Reseo Herbal Untuk 100 Penyakit
0178,633.5,Text,0178,19 Oktober 1984,,,600-699,,Available,,,,,IDR,,,,Tanaman bambu
0642,635.9,Text,0642,-,,,600-699,,Available,,,,,IDR,,,,Tanaman Hias  Yang Berbunga
0640,635.9,Text,0640,-,,,600-699,,Available,,,,,IDR,,,,Tanaman Hias 1
0639,635.9,Text,0639,-,,,600-699,,Available,,,,,IDR,,,,Tanaman Hias 2
0631,633.2,Text,0631,-,,,600-699,,Available,,,,,IDR,,,,Tanaman Makanan Ternak 1
5542,633.8,Text,5542,3 maret 2011,,,600-699,,Available,,,,,IDR,,,,"Tanaman Obat Untuk Penyakit jantung, darah Tinggi, & Kolesterol"
0646,633,Text,0646,-,,,600-699,,Available,,,,,IDR,,,,Tanaman Penutup tanah
0644,633.7,Text,0644,-,,,600-699,,Available,,,,,IDR,,,,Tanaman Penyegar 1
633,633.8,Text,633,,,,600-699,,Available,,,,,IDR,,,,tanaman Rempah-Rempah 1
0645,635,Text,0645,-,,,600-699,,Available,,,,,IDR,,,,Tanaman Sayur-Sayuran
3850,611,Reference,3850,22 Mei 2006,,,600-699,,Available,,,,,IDR,,,,Tanya & Jawab Ensiklopedia Tubuh Manusia
92,643,Text,92,28 Apriil 1994,,,600-699,,Available,,,,,IDR,,,,tata Boga Kelas 1 Semester II
,421.9,Text,,11 Juli 2007,,,600-699,,Available,,,,,IDR,,,,Teknik Reparasi Video
494,674,Text,494,14 Januari 1987,,,600-699,,Available,,,,,IDR,,,,Teknik Triplek & Aneka Wood
4441,607.2,Text,4441,6 Januari 2009,,,600-699,,Available,,,,,IDR,,,,Teknologi Dan Industri
4335,612.382,Text,4335,2-Nov-07,,,600-699,,Available,,,,,IDR,,,,Teknologi Internet
4009,641.3,Text,4009,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Teknologi Pengolahan Nata De Coco
3967,664,Text,3967,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Teknologi Pengolahan Sagu
4895,604.7,Text,4895,4 Desember 2009,,,600-699,,Available,,,,,IDR,,,,TEKNOLOGI Pro Dan Kontra Penerapan sains
4007,633.3,Text,4007,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Tempe & Kecap Kecipir
3996,641.3,Text,3996,25 Juli 2006,,,600-699,,Available,,,,,IDR,,,,Tempe Benguk
5107,621,Text,5107,15-Apr-10,,,600-699,,Available,,,,,IDR,,,,Tenaga Pro Dan Kontra tentang Sumber Daya Dan Lingkungan
,,Text,,24 Juni 2009,,,600-699,,Available,,,,,IDR,,,,Terapi  JUS Buah & Sayur
5145,641.3,Text,5145,27 Mei 2010,,,600-699,,Available,,,,,IDR,,,,Terapi Jus & Ramuan Tradisional Untuk Hipertensi
4680,615.5,Text,4680,2 Juli 2008,,,600-699,,Available,,,,,IDR,,,,Terapi Jus Untuk Kolesterol + RamuanHerbal
4060,615.8,Text,4060,1-Nov-06,,,600-699,,Available,,,,,IDR,,,,Terapi Jus Untuk Rematik & Asam Urat
4690,615.8,Text,4690,2 Juli 2008,,,600-699,,Available,,,,,IDR,,,,Terapi Mata Dengan Pijat Dan Ramuan
4994,619.133,Text,4994,24 Februari 2010,,,600-699,,Available,,,,,IDR,,,,Terbang Untuk Kesenangan : Kisah Penerbangan
4812,636.7,Text,4812,12 Juli 2008,,,600-699,,Available,,,,,IDR,,,,The Dog Book
5102,641.2,Text,5102,15-Apr-10,,,600-699,,Available,,,,,IDR,,,,The Miracle Of Caffeine
5858,613,Text,5858,14 Juli 2012,,,600-699,,Available,,,,,IDR,,,,The Miracle Of Endorphin
5858,613,Text,5858,14 Juli 2012,,,600-699,,Available,,,,,IDR,,,,The Miracle Of Endorphin
5164,615.3,Text,5164,29 Mei 2010,,,600-699,,Available,,,,,IDR,,,,The Miracle Of Enzyme
4668,613.2,Text,4668,16 Mei 2009,,,600-699,,Available,,,,,IDR,,,,The Vegetarian Way
6851,610.7,Text,6851,17 Juli 2017,,,600-699,,Available,,,,,IDR,,,,Tip Dan Trik Merawat Ponsel Berbasis Android
5541,615.4,Text,5541,3 maret 2011,,,600-699,,Available,,,,,IDR,,,,Tips Cerdas Mengenali OBAT
,629.22,Text,,,,,600-699,,Available,,,,,IDR,,,,TRUK
4454,629.22,Text,4454,28 Januari 2008,,,600-699,,Available,,,,,IDR,,,,Truk Dan Penggali
4308,611,Text,4308,6 Oktober 2007,,,600-699,,Available,,,,,IDR,,,,TUBUH KITA
570,611,Text,570,-,,,600-699,,Available,,,,,IDR,,,,Tubuhku Yang Mengagumkan
6550,615.8,Text,6550,8 Agustus 2016,,,600-699,,Available,,,,,IDR,,,,Tumpas Penyakit Dengan 40 Daun 10 Akar Rimpang
4482,641.7,Text,4482,15 januari 2009,,,600-699,,Available,,,,,IDR,,,,variasi Bakso favorit
4881,641.8,Text,4881,16 Oktober 2009,,,600-699,,Available,,,,,IDR,,,,Variasi Masakan Cumi
4629,641.7,Text,4629,12 Juni 2008,,,600-699,,Available,,,,,IDR,,,,Variasi Masakan Mi
5094,641.7,Text,5094,15-Apr-10,,,600-699,,Available,,,,,IDR,,,,Variasi Olahan Ikan Air Tawar
5174,641.8,Text,5174,29 Mei 2010,,,600-699,,Available,,,,,IDR,,,,"variasi Risol, Lumpia Dan Pastel Goreng"
7925,664,Text,7925,19-Sep-24,,,600-699,,Available,,,,,IDR,,,,Bidik P5 Proyek Penguatan Profil Pelajar Pancasila Untuk SMP/MTs Kelas VIII : Bhinneka Tunggal Ika
7885,652,Text,7885,18-Apr-24,,,600-699,,Available,,,,,IDR,,,,Menulis : Meningkatkan Dan Menjual Kecerdasan Verbal-Linguistik Anda
7988,649.1,Text,7988,26 Maret 2025,,,600-699,,Available,,,,,IDR,,,,"Super Child, Happy Child : Pola asuh Mendidik Anak Bahagia Dan Sukses"
4669,646.7,Text,4669,16 Mei 2009,,,600-699,,Available,,,,,IDR,,,,199 Tips Cantik Mudah dan murah dari rumah
4702,702.8,Text,4702,2 Juli 2008,,,700-799,,Available,,,,,IDR,,,,Kreasi Cantik Dari Kain Belacu
2450,722,Text,2450,27 Agustus 2001,,,700-799,,Available,,,,,IDR,,,,Kisah Arsitektur Masa Cina Kuno
4919,745.5,Text,4919,12 Agustus 2012,,,700-799,,Available,,,,,IDR,,,,Daur Ulang Kertas Untuk Hobi Dan Bisnis
4868,728.3,Text,4868,19 Oktober 2009,,,700-799,,Available,,,,,IDR,,,,Rumah Irit Energi
5551,745,Text,5551,3 Maret 2011,,,700-799,,Available,,,,,IDR,,,,Rajutan Untuk Pemula
3880,745.5,Text,3880,1 Juli 2006,,,700-799,,Available,,,,,IDR,,,,Paper Craft
5366,745.9,Text,5366,30-Sep-10,,,700-799,,Available,,,,,IDR,,,,Inspiration Krissan
0174,747,Text,0174,16 Oktober 1984,,,700-799,,Available,,,,,IDR,,,,Merangkai Bunga
4681,745.5,Text,4681,2 Juli 2008,,,700-799,,Available,,,,,IDR,,,,Aneka Kreasi Anyaman Sederhana Dari Tali Satin
847,745.5,Text,847,23 Oktober 1990,,,700-799,,Available,,,,,IDR,,,,Aneka Melipat Kertas 2
366,745,Text,366,12-Nov-85,,,700-799,,Available,,,,,IDR,,,,Berkreasi Dengan Bambu 2
4234,736.9,Text,4234,19 Juli 2007,,,700-799,,Available,,,,,IDR,,,,Kreasi Pembatas Buku Nuansa fauna
1867,745,Text,1867,6 Agustus 1994,,,700-799,,Available,,,,,IDR,,,,Seni Kerajinan Bambu
2512,780,Text,2512,30-Nov-96,,,700-799,,Available,,,,,IDR,,,,Pendidikan Seni Musik
4216,770,Text,4216,19 Juli 2007,,,700-799,,Available,,,,,IDR,,,,Fotografi Ponsel
6806,796.33,Text,6806,17 Juli 2017,,,700-799,,Available,,,,,IDR,,,,The Big Pang Theory
5144,784,Text,5144,27 Mei 2010,,,700-799,,Available,,,,,IDR,,,,Rahasia Musik Kekayaan
4484,700,Text,4484,15 Januari 2009,,,700-799,,Available,,,,,IDR,,,,Ayo Bikin Komik! Bersama Machiko Sensei
5823,702,Text,5823,7 Mei 2012,,,700-799,,Available,,,,,IDR,,,,MagicFingers
,,Text,,11 Mei 2007,,,700-799,,Available,,,,,IDR,,,,Jurus Pintar Kartunis
4342,786,Text,4342,2-Nov-07,,,700-799,,Available,,,,,IDR,,,,Sains Dalam Olahraga
3879,746.4,Text,3879,1 Juli 2006,,,700-799,,Available,,,,,IDR,,,,Flanel Foe Special Moment
4136,745.5,Text,4136,11 Mei 2007,,,700-799,,Available,,,,,IDR,,,,Teknik Dasar Membuat Lilin Hias
5181,736.9,Text,5181,31 Mei 2010,,,700-799,,Available,,,,,IDR,,,,Kreasi Cantik Pembungkus Kado
4124,782.4,Text,4124,11-Apr-07,,,700-799,,Available,,,,,IDR,,,,Kumpulan Lagu-Lagu Rekor Muri
4600,726.1,Text,4600,13-Apr-09,,,700-799,,Available,,,,,IDR,,,,Candi  Prambanan
4599,726.1,Text,4599,13-Apr-09,,,700-799,,Available,,,,,IDR,,,,Candi Borobudur
4746,741,Text,4746,24 Juni 2009,,,700-799,,Available,,,,,IDR,,,,Menggambar manusia
1736,780,Text,1736,28 Agustus 1993,,,700-799,,Available,,,,,IDR,,,,Teori Musik Umum
4884,796.2,Text,4884,11-Nov-09,,,700-799,,Available,,,,,IDR,,,,100 Game Kreatif
2474,747,Text,2474,28 Juli 1996,,,700-799,,Available,,,,,IDR,,,,The Pried Flower Project Book
4745,741,Text,4745,24 Juni 2009,,,700-799,,Available,,,,,IDR,,,,Menggambar Tumbuhan Dan Benda Mati
6131,796.33,Text,6131,23 Oktober 2013,,,700-799,,Available,,,,,IDR,,,,Real Madrid Tim Bertabur Bintang Penakluk Eropa
4297,796.32,Text,4297,28 Juli 2007,,,700-799,,Available,,,,,IDR,,,,Petunjuk Pelatih & Pemain Bola Basket
3764,796.33,Text,3764,4 Maret 2006,,,700-799,,Available,,,,,IDR,,,,Dasar SepakBola Modern
270,780,Text,270,6 Desember 1999,,,700-799,,Available,,,,,IDR,,,,Belajar Menyanyi Dengan Not Balok 1
117,780,Text,117,28 Agustus 1994,,,700-799,,Available,,,,,IDR,,,,Seni Musik SMP 1
0074,750.1,Text,0074,17 oktober 1984,,,700-799,,Available,,,,,IDR,,,,Sketsa-Sketsa Henk Ngantung Dari masa Ke Masa
0666,796.3,Text,0666,-,,,700-799,,Available,,,,,IDR,,,,Dasar Bermain Bulu Tangkis
0766,796.34,Text,0766,-,,,700-799,,Available,,,,,IDR,,,,Dasar Bermain Tenis Meja
615,761,Text,615,25 Juli 1990,,,700-799,,Available,,,,,IDR,,,,Seni Cetak Cukil Kayu
4253,797.2,Text,4253,28 Juli 2007,,,700-799,,Available,,,,,IDR,,,,Belajar Berenang
0171,770,Text,0171,18 Oktober 1984,,,700-799,,Available,,,,,IDR,,,,Pelajaran Praktis memotret
4695,791,Text,4695,2 Juli 2008,,,700-799,,Available,,,,,IDR,,,,I Love To Organize
0080,796.44,Text,0080,10 Oktober 1984,,,700-799,,Available,,,,,IDR,,,,AEROBIK
5698,745,Text,5698,5 Oktober 2011,,,700-799,,Available,,,,,IDR,,,,Rajutan Inspiratif Kompilasi Hakken Dan Breien
4248,736.5,Text,4248,28 Juli 2007,,,700-799,,Available,,,,,IDR,,,,Terampil Merangkai Kalung Buatan Sendiri
4146,746.3,Text,4146,11 Mei 2007,,,700-799,,Available,,,,,IDR,,,,Kreasi Boneka Untuk Suvenir & hadiah
531,740,Text,531,1 Juni 1990,,,700-799,,Available,,,,,IDR,,,,Permulaan Belajar Menggambar
4145,745.5,Text,4145,11 Mei 2007,,,700-799,,Available,,,,,IDR,,,,Kreasi Kertas Nuansa Hari Istimewa
5550,746.4,Text,5550,3 Maret 2011,,,700-799,,Available,,,,,IDR,,,,Berkreasi Dengan Kain Flanel
0494,745.5,Text,0494,14 Januari 1987,,,700-799,,Available,,,,,IDR,,,,Teknik Triplek & Aneka WOOD
4351,791.4,Text,4351,27 Oktober 2008,,,700-799,,Available,,,,,IDR,,,,Langkah Awal Menjadi Presenter
4878,712.6,Text,4878,12 Agustus 2008,,,700-799,,Available,,,,,IDR,,,,Taman batu Artifisial
5062,790.1,Text,5062,6-Apr-10,,,700-799,,Available,,,,,IDR,,,,Bermain Lebih Baik Daripada Nonton TV
-,745.9,Text,-,-,,,700-799,,Available,,,,,IDR,,,,Inspiration Krissan Indahnya Ragam Rangkaian Bunga
104,746,Text,104,28-Apr-94,,,700-799,,Available,,,,,IDR,,,,Seni Kerajinan Membordir
-,708,Text,-,-,,,700-799,,Available,,,,,IDR,,,,Buklet Museum Purna Bhakti Pertiwi
0346,780,Text,0346,12 Agustus 1985,,,700-799,,Available,,,,,IDR,,,,Suara Dan Musik
5221,702.8,Text,5221,19 Agustus 2010,,,700-799,,Available,,,,,IDR,,,,Inspirasi Hantaran Pernikahan
1719,784,Text,1719,26 Agustus 1993,,,700-799,,Available,,,,,IDR,,,,Menjadi Diregen II Edisi Revisi
4412,781.7,Text,4412,17  Januari 2008,,,700-799,,Available,,,,,IDR,,,,Tampil Beda Dengan Ringtone Lagu Rohani
0667,781.6,Text,0667,-,,,700-799,,Available,,,,,IDR,,,,Lagu keroncong
5229,745.5,Text,5229,1-Sep-10,,,700-799,,Available,,,,,IDR,,,,Menghias Stoples
6230,745,Text,6230,7-Apr-14,,,700-799,,Available,,,,,IDR,,,,Kreasi Kertas Koran
6192,700,Text,6192,12 maret 2014,,,700-799,,Available,,,,,IDR,,,,Seni Budaya SMP/MTsKelas VII
4816,701.8,Reference,4816,26 Agustus 2009,,,700-799,,Available,,,,,IDR,,,,Ensiklopedia Seni & Budaya Nusantara
4587,746,Text,4587,13-Apr-09,,,700-799,,Available,,,,,IDR,,,,Aksesori & Perlengkapan Anak Dari Kain Felt
5882,790,Text,5882,7 Agustus 2012,,,700-799,,Available,,,,,IDR,,,,SUJU The secret Of Super Junior
4646,745.5,Text,4646,16 Mei 2009,,,700-799,,Available,,,,,IDR,,,,Kreasi Kertas Koran 2
5139,745.5,Text,5139,3 Mei 2010,,,700-799,,Available,,,,,IDR,,,,Kreasi Origami
4793,770,Text,4793,12 Julin2008,,,700-799,,Available,,,,,IDR,,,,Membuat Efek Dramatis Pada Foto Dengan Photoshop CS2
2323,780,Text,2323,11 Desember 1995,,,700-799,,Available,,,,,IDR,,,,Pendidikan Seni Musik 1
6229,745,Text,6229,7-Apr-14,,,700-799,,Available,,,,,IDR,,,,Tas dari Limbah Plastik
5860,793.8,Text,5860,14 Juli 2012,,,700-799,,Available,,,,,IDR,,,,Buku Pintar Sulap
4579,782.4,Text,4579,3 Juni 2008,,,700-799,,Available,,,,,IDR,,,,Koleksi 100 Lagu daerah Indonesia Terpopuler
2356,745,Text,2356,11 Januari 1996,,,700-799,,Available,,,,,IDR,,,,Ketrampilan Anyam Menganyam
4600,750,Text,4600,3 Juni 2008,,,700-799,,Available,,,,,IDR,,,,Melukis Dengan Cat Minyak 
5630,782.4,Text,5630,21 mei 2011,,,700-799,,Available,,,,,IDR,,,,Lagu-Lagu nasional Dan Daerah
4596,780,Text,4596,3 Juni 2008,,,700-799,,Available,,,,,IDR,,,,Refresh 01 Chord Lagu-Lagu Dengan Not Balok
4443,782.4,Text,4443,6  Januari 2009,,,700-799,,Available,,,,,IDR,,,,100 lagu Untuk Bermain Suling
4598,726.1,Text,4598,13-Apr-09,,,700-799,,Available,,,,,IDR,,,,Mengenal Candi
4508,758.3,Text,4508,18 Februari 2009,,,700-799,,Available,,,,,IDR,,,,Melukis Itu Mudah Hewan Liar Volume 2
4595,780,Text,4595,3 Juni 2008,,,700-799,,Available,,,,,IDR,,,,Trend Musik Lagu Pop 4
,,Text,,2-Nov-07,,,700-799,,Available,,,,,IDR,,,,100 Pengetahuan Tentang Keajaiban Dunia
4357,720,Text,4357,3 JUNI 2008,,,700-799,,Available,,,,,IDR,,,,RUMAH 180M - 280M
6366,746.6,Text,6366,10-Nov-14,,,700-799,,Available,,,,,IDR,,,,"Yuk, Mbatik!"
4267,710,Text,4267,15 Agustus 2007,,,700-799,,Available,,,,,IDR,,,,Kehidupan Di Kota Besar
4618,740,Text,4618,3 Juni 2008,,,700-799,,Available,,,,,IDR,,,,Rumah 180-280m2 Inspirasi Desain
5285,780,Text,5285,23-Sep-10,,,700-799,,Available,,,,,IDR,,,,Suzuki Violin School Volume 1-8 Piano Part Revised Edition
5938,793,Text,5938,20 Februari 2013,,,700-799,,Available,,,,,IDR,,,,100 Permainan Penyegar Pertemuan
5013,796.7,Text,5013,24 Februari 2010,,,700-799,,Available,,,,,IDR,,,,Cool Wheels : Racing Cars
3858,780.7,Text,3858,31 Mei 2006,,,700-799,,Available,,,,,IDR,,,,Ada Apa Di Balik Musik Rock ?
0572,745.5,Text,0572,-,,,700-799,,Available,,,,,IDR,,,,Membuat mainan dari Kayu
4245,796.5,Text,4245,28 Juli 2007,,,700-799,,Available,,,,,IDR,,,,Rock Climbing : Panduan Praktis Panjat Tebing
5109,793,Text,5109,15-Apr-10,,,700-799,,Available,,,,,IDR,,,,Smart& Creative games Untuk Melanjutkan Potensi & Prestasi
4832,793.2,Text,4832,6-Sep-08,,,700-799,,Available,,,,,IDR,,,,Bergembira Bersama 100 Permainan Rakyat
3118,726.5,Text,3118,2 januari 2002,,,700-799,,Available,,,,,IDR,,,,Puh Sarang Tempo Doloe & Di tahun 2000
4418,790.1,Text,4418,17-Nov-08,,,700-799,,Available,,,,,IDR,,,,PELASIR : Seri Tempat Besejarah
4419,790.1,Text,4419,17-Nov-08,,,700-799,,Available,,,,,IDR,,,,PELASIR : Seri Indahnya Alam 
4254,796.34,Text,4254,28 Juli 2007,,,700-799,,Available,,,,,IDR,,,,BULU TANGKIS
4008,745.5,Text,4008,25 Juli 2006,,,700-799,,Available,,,,,IDR,,,,Kerajinan Eceng Gondok
4606,796.33,Text,4606,3 Juni 2008,,,700-799,,Available,,,,,IDR,,,,SEPAK BOLA
0255,771,Text,0255,10 Agustus 1984,,,700-799,,Available,,,,,IDR,,,,Cara Kerja kamera
0177,770,Text,0177,18 Oktober 1984,,,700-799,,Available,,,,,IDR,,,,BERKISAH
4712,782.4,Text,4712,24 Juni 2009,,,700-799,,Available,,,,,IDR,,,,Lagu - Lagu daerah Dan nasional
4673,745.5,Text,4673,16 Mei 2009,,,700-799,,Available,,,,,IDR,,,,Clay Pajangan Lucu Dari Tepung Kue
6099,771,Text,6099,30-Sep-13,,,700-799,,Available,,,,,IDR,,,,memotret Dengan Kamera Digital  Untuk Pemula
,770,Text,,,,,700-799,,Available,,,,,IDR,,,,Amazing 1 Serba-Serbi Foto Di Dunia
6670,746.6,Text,6670,23 Mei 2017,,,700-799,,Available,,,,,IDR,,,,Batik Nusantara
6915,743.4,Text,6915,22 Januari 2018,,,700-799,,Available,,,,,IDR,,,,Air Brush Make Up
6985,745.5,Text,6985,10-Nov-18,,,700-799,,Available,,,,,IDR,,,,Inspirasi Kreatif Dari Bahan Bekas
6987,745.5,Text,6987,10-Nov-18,,,700-799,,Available,,,,,IDR,,,,Kreatif Dengan Tas Kresek
6953,787,Text,6953,25-Sep-18,,,700-799,,Available,,,,,IDR,,,,Basic Mode & Skala Melodi Gitar Berdasarkan Akor
6986,745.5,Text,6986,10-Nov-18,,,700-799,,Available,,,,,IDR,,,,Kreasi Kertas Bekas Cantik & Layak Jual
6957,770.2,Text,6957,25-Sep-18,,,700-799,,Available,,,,,IDR,,,,dasar Fotografi: cara Cepat Memahami Fotografi
4900,782.4,Text,4900,29 Agustus 2008,,,700-799,,Available,,,,,IDR,,,,Indonesia Yang Kucinta
2922,722,Text,2922,19 Juli 2007,,,700-799,,Available,,,,,IDR,,,,Kastil
,793.7,Text,,,,,700-799,,Available,,,,,IDR,,,,Permainan Perjalanan
4481,778.53,Text,4481,15 Januari 2009,,,700-799,,Available,,,,,IDR,,,,Di Balik Layar Laskar Pelangi
2881,796.33,Text,2881,17 Juli 2017,,,700-799,,Available,,,,,IDR,,,,BOLA BASKET : Taktik Menyerang & Teknik Bertahan
6555,770.1,Text,6555,9 Agustus 2016,,,700-799,,Available,,,,,IDR,,,,Kitab Fotografi Edisi Praktis Untuk Pemula Orang & Awam
4340,793.8,Text,4340,2-Nov-07,,,700-799,,Available,,,,,IDR,,,,Saibs Dalam Sulap
4605,796.32,Text,4605,3 Juni 2008,,,700-799,,Available,,,,,IDR,,,,BASKET
2128,780,Text,2128,1 Agustus 1995,,,700-799,,Available,,,,,IDR,,,,Pendidikan Seni Musik SLTP Kelas 1
2613,780,Text,2613,6 Agustus 1997,,,700-799,,Available,,,,,IDR,,,,Seni Musik Untuk SMP Jilid 21
2613,780,Text,2613,6 Agustus 1997,,,700-799,,Available,,,,,IDR,,,,Seni Musik Untuk SMP Jilid 2 
0793,780,Text,0793,14 Januari 1987,,,700-799,,Available,,,,,IDR,,,,Seni Musik 
-,780,Text,-,-,,,700-799,,Available,,,,,IDR,,,,Seni Musik 1 Untuk Kelas 1 SMP
-,780,Text,-,-,,,700-799,,Available,,,,,IDR,,,,Seni Musik 3 Untuk Kelas 3 SMP
-,780,Text,-,-,,,700-799,,Available,,,,,IDR,,,,Seni Musik 2
119,780,Text,119,28-Apr-94,,,700-799,,Available,,,,,IDR,,,,Seni Musik 3
652,780,Text,652,25 Juli 1990,,,700-799,,Available,,,,,IDR,,,,Pelajaran Seni Musik 1Untuk SMP Kelas 1
653,780,Text,653,25 Juli 1990,,,700-799,,Available,,,,,IDR,,,,Pelajaran Seni Musik 2 Untuk SMP Kelas 2
654,780,Text,654,25 Juli 1990,,,700-799,,Available,,,,,IDR,,,,Pelajaran Seni Musik 3 Untuk SMP Kelas 3
614,780,Text,614,8 Februari 1996,,,700-799,,Available,,,,,IDR,,,,Seni Musik  Untuk Kelas 1 SMP
2421,780,Text,2421,8 Februari 1996,,,700-799,,Available,,,,,IDR,,,,Seni Musik 2 Untuk Kelas 2 SMP
616,780,Text,616,-,,,700-799,,Available,,,,,IDR,,,,Seni Musik Untuk Kelas 3 SMP
2151,780,Text,2151,8 Agustus 1995,,,700-799,,Available,,,,,IDR,,,,Pendidikna Seni Musik Untuk SLTP Jilid 2
2418,780,Text,2418,8 Februari 1996,,,700-799,,Available,,,,,IDR,,,,Saya Dapat Menyanyi : Teori Seni Musik 2
60/93,782.4,Text,60/93,25 Februari 1993,,,700-799,,Available,,,,,IDR,,,,Lagu Mars Wajib Belajar Pendidikan Dasar 9 Tahun
0270,780,Text,0270,12-Nov-24,,,700-799,,Available,,,,,IDR,,,,Yamaha Guitar Course Fundamesntals
