item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update
4496,158.2 COV t,Text,4496,8 Mei  2008,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4555,158.2 COV t,Text,4555,2 Maret 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
7117,150 ELF t,Text,7117,9/12/2019,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5334,155.2 MIS d,Text,5334,9/27/2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4438,155.2 HAR m,Text,4438,6 Januari 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4562,158.1 KHE k,Text,4562,2 Maret 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5851,154.7 GUN t,Text,5851,14 Juli 2012,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5069,153 ARM t,Text,5069,4/6/2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4686,158.1 GOT m,Text,4686,2 Juli 2008,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4903,153.1 BUZ,Text,4903,4 Desember 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6640,128 WIJ i,Text,6640,4/7/2017,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5671,158.1 BUR m,Text,5671,23 Juli 2011,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4904,121 WCY d,Text,4904,9/3/2008,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4528,158.4 SOE t,Text,4528,21 Mei 2008,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4876,158.2 GRA r,Text,4876,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4697,152.4 BRA a,Text,4697,2 Juli 2008,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4498,158.2,Text,4498,18 Februari 2009,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6020,153 SUS p2,Text,6020,24 Mei2013,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5671,158.1,Text,5671,23 Juli 1993,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
1620,120 PAN m,Text,1620,4/14/1993,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
7037,155.25 ZAL a,Text,7037,4/29/2019,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6705,155.25 KIN j,Text,6705,23 Mei 20174,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6995,155.25 KIN j,Text,6995,11/10/2018,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
2152,170 SUR a,Text,2152,23 Agustus 1995,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6845,153 TIM k,Text,6845,17 Juli 2017,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6519,155 SIA a,Text,6519,5 Juni 2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
3667,152.4 ETT m,Text,3667,11 Mei 2005,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
3288,153.8 WIC s,Text,3288,9/19/2002,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6864,153 UTO t,Text,6864,11 Agustus 2017,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5088,155.5 PEL t,Text,5088,4/15/2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
6021,153 SUS p3,Text,6021,24 Mei 2013,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4882,152.4,Text,4882,11/11/2025,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
952,140 LEA m,Text,952,11/22/1986,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
4028,155.5 HIP b,Text,4028,9/9/2006,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
5086,155.2 SOE m,Text,5086,4/15/2010,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
3595,155.4 LIG l,Text,3595,16 Oktober 2004,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
