414/89,020 TIM m,Text,,10 Nov. 1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
6016,070,Text,,24 Mei 2013,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Traveler
7999,070,Text,,26 Maret 2025,,,000-099,,Available,,,,,IDR,,,,national Geographic Indonesia Maret 2025
8000,070,Text,,15-Apr-25,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia April 2025 Edisi Khusus 20 Tahun 
8007,005.1,Text,,30-Apr-25,,,000-099,,Available,,,,,IDR,,,,Menguasai Pemrograman Arduino Dan Robotik
8010,005.36,Text,,30-Apr-25,,,000-099,,Available,,,,,IDR,,,,Coreldraw 2019 untuk Pemula
8009,005.369,Text,,30-Apr-25,,,000-099,,Available,,,,,IDR,,,,Kolaborasi data Antarprogram Microsoft Office 2021
8008,004.64,Text,,30-Apr-15,,,000-099,,Available,,,,,IDR,,,,Mudah Membuat Aplikasi Android 
8006,030,Reference,,30-Apr-15,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia ilmuwan Fisika Abad 20
8004,030,Reference,,30-Apr-15,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Alam Semesta & Luar Angkasa
7329,004,Text,,6-Nov-20,,,000-099,,Available,,,,,IDR,,,,Learning More Formation & Communication Technology 3
8023,70,Text,,20 Juni 2025,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Juni 2025
8037,070,Text,,14 Juli 2025,,,000-099,,Available,,,,,IDR,,,,National Geograpich Indonesia Juli 2025
8049,070,Text,,11 Agustus 2025,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Agustus 2025
8060,070,Text,,22-Sep-25,,,000-099,,Available,,,,,IDR,,,,National Geograpich September 2025
8091,006.6,Text,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Buku Pintar (Jadi) Content Creator 
8092,005,Text,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Desain dan Pemograman Drone Cerdas
8094,005,Text,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Koding & Kecerdasan Artifisial untuk kelas SMP 7 SMP/MTs
8095,003,Text,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Koding & Kecerdasan Artifisial untuk kelas SMP 8 SMP/MTs
8096,003,Text,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Kooding & Kecerdasan
8097,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Bali
8098,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Kalimantan Selatan
8099,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Kalimantan Barat 
8100,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia indonesia Provinsi Kalimantan Tengah
8101,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Kalimantan Timur 
8102,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Kalimantan Utara 
8103,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Nusa Tenggara Barat
8104,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Nusa Tenggara Timur
8105,031,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Papua
8109,030,Reference,,30-Sep-25,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Teknologi Komputer 
6669,153.8 TIM d,Text,,23 Mei 2017,,,100-199,,Available,,,,,IDR,,,,200 Tokoh Inspiratif Penemu & Pengubah Dunia
4496,158.2 COV t,Text,,8 Mei  2008,,,100-199,,Available,,,,,IDR,,,,The 7 habits Of Highly Effective Teens
