title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Kumpas Tuntas Microsoft Office 2003,Text,,,Indah,2004,,,004.2 RAZ k,Indonesia,Surabaya,4.2,,,,Abdul Razaq,
36 jam Belajar Komputer Microsoft Access 2003,Text,,,Elex Media Komputindo,2005,,,004.2 PER t,Indonesia,Jakarta,4.2,,,,"Budi Permana, S.E., AK.,M.Sc",
Modul Microsoft Excel 2007,Text,,,Modula,2010,,,005 GUM m,Indonesia,Bandung,5,,,,Atang Gumawang,
Belajar Mudah & Cepat Microsoft Excel 2010,Text,,,Pustaka Baru,-,,,005 WIN b,Indonesia,yogyakarta,5,,,,bagus Winahyu RM.,
123 Fungsi dan Formula Excel 2010,Text,,,Andi,2011,,,004.2 AND s,Indonesia,yogyakarta,4.2,,,,Andi's,
Mahir CorelDRAW,Text,,,Dunia Komputer,-,,,004.2 TIM m,Indonesia,Jakarta,4.2,,,,TIM-Dukom,
Panduan Lengkap Microsoft Word 97,Text,,,Andi,1999,,,629 TIM p,Indonesia,yogyakarta,629,,,,TIM,
Penelitihan Ilmiah Remaja 1,Text,,,BSD-MIPA,2004,,,001.4 TIM p1,Indonesia,Jakarta,1.4,,,,TIM,
Penelitihan Ilmiah Remaja 2,Text,,,BSD-MIPA,2004,,,001.4 TIM p2,Indonesia,Jakarta,1.4,,,,TIM,
Gaul Bareng Blogspot… yuk!,Text,,,Grasindo,2013,,,005 MUA g,Indonesia,Jakarta,5,,,,Fahrul Muanif,
Word Star 7.0 Untuk Pengetikan Sehari-hari,Text,,,Elex Media Komputindo,1992,,,005 ARI w,Indonesia,Jakarta,5,,,,Arisubagijo-dkk,
Menulis Berita Di Media Massa & Produksi Feature,Text,,,Andi,2019,,,070.4 ISN m,Indonesia,yogyakarta,70.4,,,,"Prof. Isnawijayani, M.Si., Ph.d",
Deadline Menaklukan  Rintangan menulis Berita Televisi,Text,,,Andi,2015,,,070.4 NUR d,Indonesia,yogyakarta,70.4,,,,Nursalim,
Analisis Data Kualitatif ,Text,,,UI-Press,1992,,,001.4 MIL a,Indonesia,Jakarta,1.4,,,,Matthew B. Miles,
Semua Bisa Beraksi,Text,,,KPK,2016,,,028 TIM s,Indonesia,Jakarta,28,,,,TIM,
SOP Standar Operasional Prosedur,Text,,,Istana,2012,,,028 PAL s,Indonesia,Surabaya,28,,,,Nafik Palil,
Terampil Memanfaatkan Komputer Dalam jaringan,Text,,,Pusat Perbukuan,2001,,,006.4 TIM t,Indonesia,Jakarta,6.4,,,,TIM -Depdiknas,
Membina majalah Dinding,Serial,,,Adicita Karya Nusa,-,,,070.4 NUR m,Indonesia,yogyakarta,70.4,,,,Nursisto,
Menulis Karangan Untuk Pers,Text,,,Balai Pustaka,1995,,,070.4 WIR m,Indonesia,Jakarta,70.4,,,,Haksan Wirasustina,
Majalah Rumah Tangga Kesehatan Jan.2021,Serial,,,Advent Indonesia,2021,,,070.1 TIM r,Indonesia,Jakarta,70.1,,,,TIM,
