item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
7796,070.1 TIM i,Serial,7796,10/31/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7822,070.1 TIM i,Serial,7822,12/5/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7874,006.754 PER b,Text,7874,4/17/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7873,005.36 TIM d,Text,7873,4/17/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7883,030 TIM e,Reference,7883,4/18/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7661,028 SUS s,Text,7661,10/3/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5276,020 SAL m,Text,5276,9/16/2010,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7871,,Serial,7871,4/5/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7894,70,Serial,7894,4/5/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7897,70,Serial,7897,5/21/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
AUTO-127,,Serial,,6/1/2014,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7953,028 TIM t,Text,7953,11/8/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7916,070 TIM n,Text,7916,8/16/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7932,070 TIM n,Text,7932,9/19/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7950,070 TIM n,Text,7950,10/30/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7952,70,Text,7952,11/8/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7968,70,Text,7968,12/17/2024,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7970,70,Text,7970,1/20/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7977,70,Text,7977,2/5/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7738,030.9 WAS e,Reference,7738,2/28/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7739,030.9 WAS e,Reference,7739,2/28/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6016,70,Text,6016,5/24/2013,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7999,70,Text,7999,3/26/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8000,70,Text,8000,4/15/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8007,5.1,Text,8007,4/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8010,5.36,Text,8010,4/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8009,5.369,Text,8009,4/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8008,4.64,Text,8008,4/30/2015,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8006,30,Reference,8006,4/30/2015,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8004,30,Reference,8004,4/30/2015,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7329,4,Text,7329,11/6/2020,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8023,70,Text,8023,6/20/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8037,70,Text,8037,7/14/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8049,70,Text,8049,8/11/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8060,70,Text,8060,9/22/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8091,6.6,Text,8091,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8092,5,Text,8092,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8094,5,Text,8094,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8095,3,Text,8095,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8096,3,Text,8096,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8097,31,Reference,8097,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8098,31,Reference,8098,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8099,31,Reference,8099,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8100,31,Reference,8100,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8101,31,Reference,8101,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8102,31,Reference,8102,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8103,31,Reference,8103,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8104,31,Reference,8104,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8105,31,Reference,8105,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
8109,30,Reference,8109,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6669,153.8 TIM d,Text,6669,5/23/2017,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4496,158.2 COV t,Text,4496,5/8/2008,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4555,158.2 COV t,Text,4555,3/2/2009,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7117,150 ELF t,Text,7117,9/12/2019,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5334,155.2 MIS d,Text,5334,9/27/2010,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4438,155.2 HAR m,Text,4438,1/6/2009,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4562,158.1 KHE k,Text,4562,3/2/2009,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5851,154.7 GUN t,Text,5851,7/14/2012,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5069,153 ARM t,Text,5069,4/6/2010,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4686,158.1 GOT m,Text,4686,7/2/2008,,,100-199,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
