item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
8101,31,Reference,8101,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Kalimantan Timur 
8102,31,Reference,8102,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Kalimantan Utara 
8103,31,Reference,8103,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Nusa Tenggara Barat
8104,31,Reference,8104,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Nusa Tenggara Timur
8105,31,Reference,8105,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Papua
8109,30,Reference,8109,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Teknologi Komputer 
6669,153.8 TIM d,Text,6669,23 Mei 2017,,,100-199,,Available,,,,,IDR,,2026-02-20,2026-02-20,200 Tokoh Inspiratif Penemu & Pengubah Dunia
4496,158.2 COV t,Text,4496,8 Mei  2008,,,100-199,,Available,,,,,IDR,,2026-02-20,2026-02-20,The 7 habits Of Highly Effective Teens
4555,158.2 COV t,Text,4555,2 Maret 2009,,,100-199,,Available,,,,,IDR,,2026-02-20,2026-02-20,The 8th Habit
7117,150 ELF t,Text,7117,2019-09-12,,,100-199,,Available,,,,,IDR,,2026-02-20,2026-02-20,Terapi Berpikir Positif
5334,155.2 MIS d,Text,5334,2010-09-27,,,100-199,,Available,,,,,IDR,,2026-02-20,2026-02-20,Dasyatnya Sidik Jari 
4438,155.2 HAR m,Text,4438,6 Januari 2009,,,100-199,,Available,,,,,IDR,,2026-02-20,2026-02-20,Metode Jitu Meningkatkan Daya Ingat
4562,158.1 KHE k,Text,4562,2 Maret 2009,,,100-199,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kiat Menjadi Pemenang
5851,154.7 GUN t,Text,5851,14 Juli 2012,,,100-199,,Available,,,,,IDR,,2026-02-20,2026-02-20,The Secret Of Mindset
